title,type,director,cast,listed_in,description
Secret in Their Eyes,Movie,Billy Ray,"Chiwetel Ejiofor, Nicole Kidman, Julia Roberts, Dean Norris, Michael Kelly, Joe Cole, Zoe Graham, Alfred Molina","Dramas, Thrillers","A former FBI investigator reopens the haunting 13-year-old murder case of his colleague, only to uncover shocking truths hidden since then."
The Aerial,Movie,Esteban Sapir,"Rafael Ferro, Sol Moreno, Jonathan Sandor, Alejandro Urdapilleta, Julieta Cardinali, Florencia Raggi, Valeria Bertuccelli, Raúl Hochman, Ricardo Merkin, Carlos Piñeyro","Dramas, International Movies, Sci-Fi & Fantasy","In the City Without a Voice, only faceless singer the Voice can still vocalize. Everyone else has lost the power of speech as they let Mr. TV's broadcasts speak for them. But when Mr. TV kidnaps the Voice, things change."
The Duchess,Movie,Saul Dibb,"Keira Knightley, Ralph Fiennes, Charlotte Rampling, Dominic Cooper, Hayley Atwell, Simon McBurney, Aidan McArdle, John Shrapnel, Alistair Petrie, Patrick Godfrey","Dramas, International Movies, Romantic Movies","To compensate for her unhappy marriage, young duchess Georgiana Spencer begins a scandalous affair with politician Charles Grey."
The Search for Life in Space,Movie,Stephen Amezdroz,,Documentaries,"To determine whether we're alone in the universe, astrobiologists look to Jupiter, Mars and, closer to home, extreme environments on Earth."
Una,Movie,Benedict Andrews,"Rooney Mara, Ben Mendelsohn, Riz Ahmed, Ruby Stokes, Natasha Little, Tara Fitzgerald, Tobias Menzies","Dramas, International Movies","A young woman tracks down the older man who preyed on her as a child, forcing them both to confront the damage done by what happened 15 years earlier."
Badalte Rishton Ki Dastaan,TV Show,,"Additi Gupta, Sanjeeda Sheikh, Kiran Karmarkar, Abhinav Shukla, Tanushree Kaushal, Mona Ambegaonkar","International TV Shows, TV Dramas","When a man is killed, his wife and his lover – both of whom are pregnant with his children – come under the thumb of his brutal, dictatorial father."
Bala Loca,TV Show,,"Alejandro Goic, Trinidad González, Ingrid Isensee, Mario Horton, Manuela Oyarzún, Fernanda Urrejola, Catalina Saavedra, Pablo Schwarz, Aline Küppenheim, Marcial Tagle, Víctor Quezada, Alfredo Castro, Roberto Farías, Hugo Medina, Daniel Candia, María Paz Grandjean, Alejandro Sieveking, Nicolás Durán, Sergio Hernández, Willy Semler, Erto Pantoja","International TV Shows, Spanish-Language TV Shows, TV Dramas",A veteran journalist starting a news site about corruption in Chile stumbles on a big story when a fellow investigative reporter dies suspiciously.
Beyond All Boundaries,Movie,Sushrut Jain,Kunal Nayyar,"Documentaries, International Movies, Sports Movies","As the 2011 Cricket World Cup begins, three Indians demonstrate their passion and the sacrifices they've made for the country's most popular sport."
Born to Be Free,Movie,Gayane Petrosyan,"Casting a light on the mistreatment of sea mammals, this documentary follows the plight of 18 Beluga whales kept in captivity for years.","Documentaries, International Movies","Casting a light on the mistreatment of sea mammals, this documentary follows the plight of 18 Beluga whales kept in captivity for years."
Burned Cocoon,TV Show,,"Yavuz Bingöl, Basak Köklükaya, Çolpan Ilhan, Mustafa Alabora, Sedef Avcı, Ayça İnci, Tuncer Necmioğlu, Serdar Özer","International TV Shows, TV Dramas","A secret marriage unites two families – one wealthy and traditional, the other bankrupt and modern – and is threatened by the resulting conflicts."
Celluloid Man,Movie,Shivendra Singh Dungarpur,P.K. Nair,"Documentaries, International Movies","This documentary chronicles the philosophy and life's work of archivist P.K. Nair, who made a mission of preserving Indian cinema’s rich history."
Couples Counseling,Movie,Alexandre Reinecke,"Zezé Polessa, Daniel Dantas, Paulo Vilhena, Fernanda Paes Leme, Juliana Mesquita","Comedies, Dramas, International Movies",A seasoned couples therapist comes to realize she might need help with her own marriage after meeting a new pair of young clients.
Dancing Quietly,Movie,Philipp Eichholtz,"Martina Schöne-Radunski, Hans-Heinrich Hardt, Sebastian Fräsdorf, Claudia Jacob, Deleila Piasko, Tobias Borchers, Ruth Bickelhaupt","Dramas, Independent Movies, International Movies","After years of battling a deep depression, a young woman attempts to pass an important exam with the help of a fellow student."
Deuces,Movie,Jamal Hill,"Larenz Tate, Meagan Good, Lance Gross, Antonique Smith, La La Anthony, Rick Gonzalez, Rotimi, Andra Fuller",Dramas,"Assigned to go undercover to take down an impenetrable crime ring, a detective finds himself falling under the sway of its enigmatic leader."
Don't Look Down,Movie,Daniel Gordon,Richard Branson,"Documentaries, International Movies","Aided by dramatic reconstructions and archive footage, Sir Richard Branson recounts his daring attempts to break hot air balloon records."
Elaan,Movie,K. Ramanlal,"Vinod Mehra, Rekha, Vinod Khanna, Helen, Madan Puri, Brahm Bhardwaj","Action & Adventure, Cult Movies, International Movies","Journalist Naresh is hired to probe illegal activities on an island. When he's captured, a fellow prisoner gives him a ring with magic powers."
Fairy Tail,TV Show,,"Tetsuya Kakihara, Aya Hirano, Rie Kugimiya, Yuichi Nakamura, Sayaka Ohara, Satomi Sato, Yui Horie, Hiroki Yasumoto, Ryoko Ono, Hiroki Touchi, Shinpachi Tsuji, Wataru Hatano, Mai Nakahara, Katsuyuki Konishi, Eri Kitamura, Todd Haberkorn, Cherami Leigh, Tia Lynn Ballard, Newton Pittman, Colleen Clinkenbeard, Brittney Karbowski, Jad Saxton, Christopher R. Sabat, Monica Rial, Rick Keeling, R. Bruce Elliott, David Wald, Brina Palencia, Patrick Seitz, Jamie Marchi","Anime Series, International TV Shows","When four young wizards team up to take jobs across the kingdom, they forge a bond more powerful than any magic and grow stronger with every mission."
Five Nights in Maine,Movie,Maris Curran,"David Oyelowo, Dianne Wiest, Rosie Perez, Teyonah Parris, Hani Furstenberg, Bill Raymond","Dramas, Independent Movies","After his wife dies in a car accident, a grief-stricken man visits his estranged mother-in-law in Maine, where they try to help each other heal."
Joe Cocker: Mad Dog with Soul,Movie,John Edginton,,"Documentaries, International Movies, Music & Musicals","From his star turn at Woodstock to his battles with addiction, this film chronicles the stormy life and unique talent of soulful singer Joe Cocker."
Khelti Hai Zindagi Aankh Micholi,TV Show,,"Ulka Gupta, Gautami Kapoor, Reema Shaikh, Vinay Jain, Manav Gohil, Helly Shah","International TV Shows, TV Dramas","The life of a 14-year-old girl is thrown into turmoil when her father dies, forcing her mother to make hard choices for their family."
Killa,Movie,Avinash Arun,"Amruta Subhash, Archit Deodhar, Parth Bhalerao, Gaurish Gawade, Atharva Upasni, Swandand Raikar, Shrikant Yadav, Umesh Jagtap, Shivalati Bokil, Jui Kahate","Dramas, International Movies",Growing up poses challenges for Chinu when he moves from city to country and encounters a youth culture far different from what he's used to.
Lavender,Movie,Ed Gass-Donnelly,"Abbie Cornish, Diego Klattenhoff, Justin Long, Dermot Mulroney, Lola Flanery, Sarah Abbott, Liisa Repo-Martell, Peyton Kennedy","Dramas, International Movies, Thrillers","After discovering old fractures in her skull, a photographer recovering from amnesia becomes increasingly haunted by a sinister childhood secret."
Life 2.0,Movie,Jason Spingarn-Koff,,Documentaries,Computer users across the globe log onto the virtual world of Second Life. But some users' lives are dramatically consumed by this alternate reality.
Maharakshak: Aryan,TV Show,,"Aakarshan Singh, Vikramjeet Virk, Reena Aggarwal, Khalid Siddiqui, Abigail Jain, Rishabh Jain","International TV Shows, TV Action & Adventure, TV Sci-Fi & Fantasy","Shy nerd Aryan learns soon after his 18th birthday that he has inherited superpowers, which he must use to vanquish a variety of evil threats."
Ouran High School Host Club,TV Show,Takuya Igarashi,"Maaya Sakamoto, Monica Rial, Vic Mignogna, Luci Christian, Mamoru Miyano, Kenichi Suzumura, Mike McFarland, Caitlin Glass, Ayaka Saito, Daisuke Kirii","Anime Series, Romantic TV Shows, Teen TV Shows","New student Haruhi stumbles on the Ouran High School Host Club, an all-male group that makes money by entertaining the girls of the school."
Razia Sultan,TV Show,,"Pankhuri Awasthy, Saurabh Pandey, Rohit Purohit, Sooraj Tapar, Mohit Abrol, Seema Kapoor","International TV Shows, Romantic TV Shows, TV Dramas","This sweeping historical drama charts the rise of a remarkable real-life figure, the first woman to ever rule the Delhi Sultanate."
Salaakhen,Movie,A. Salaam,"Shashi Kapoor, Sulakshana Pandit, Mehmood, Sudhir, Anjana Mumtaz, Sajjan, M. Rajan, Mac Mohan, Amrish Puri, Ramesh Deo","Action & Adventure, International Movies, Music & Musicals","Two close childhood friends take drastically different paths in life, but meet by chance years later and fall in love, unaware of their past bond."
Satrangi,TV Show,,Deepali Sahay,"Docuseries, International TV Shows",Young musicians from 13 states in India demonstrate their cultural heritage by performing regional folk music using traditional instruments.
Silicon Cowboys,Movie,Jason Cohen,,Documentaries,"This documentary tells the story of Compaq Computer and its three founders, who in 1982, took on Goliath IBM at the height of its PC dominance."
Skins,Movie,Eduardo Casanova,"Ana Polvorosa, Candela Peña, Macarena Gómez, Carmen Machi, Jon Kortajarena, Secun de la Rosa, Itziar Castro, Antonio Durán 'Morris', Joaquín Climent, Ana María Ayala, Eloi Costa","Dramas, International Movies","Deformed, disfigured characters must find a way to deal with society shunning their differences in this darkly comic social drama."
The Bad Kids,Movie,"Keith Fulton, Louis Pepe",,Documentaries,"In this documentary, teachers at a Mojave Desert high school adhere to a belief that compassion and life skills can profoundly help at-risk students."
The Human Factor: The Untold Story of the Bombay Film Orchestras,Movie,Rudradeep Bhattacharjee,,"Documentaries, International Movies, Music & Musicals",A family of Parsi musicians collectively works for over 60 years scoring the orchestral soundtracks for some of Bollywood's most memorable films.
The Tenth Man,Movie,Daniel Burman,"Alan Sabbagh, Julieta Zylberberg, Usher Barilka, Elvira Onetto, Adrián Stoppelman, Dan Breitman, Elisa Carricajo","Dramas, International Movies","After spending much of his adult life in New York, an affable economist returns home to Buenos Aires and tries to reconnect with his aloof father."
Toro,Movie,Kike Maíllo,"Mario Casas, Luis Tosar, José Sacristán, Claudia Canal, José Manuel Poga, Ingrid García Jonsson, Luichi Macías","Dramas, International Movies, Thrillers",Ex-con Toro's brother and former partner in crime makes a desperate plea for help that may put Toro back behind bars ... if he survives at all.
Cyborg 009 VS Devilman,TV Show,,"Jun Fukuyama, Shintaro Asanuma, Haruka Shiraishi, Tomoaki Maeno, M・A・O, Hiroki Touchi, Takeshi Koyama, Yu Mizushima, Hozumi Goda, Ayumu Okamura, Saori Hayami, Satoshi Hino, Johnny Yong Bosch, Bryce Papenbrook, Christine Marie Cabanos, Spike Spencer, Stephanie Sheh, Michael Sinterniklaas, Keith Silverstein, Joey Lotsko, Tony Azzolino, Steve Staley, Cristina Vee, Christopher Corey Smith","Anime Series, International TV Shows","When a Black Ghost scientist releases newly modified cyborgs and mysterious demons appear in Tokyo, the worlds of ""Devilman"" and ""Cyborg 009"" meet."
Frank and Cindy,Movie,G.J. Echternkamp,,Documentaries,"Frank was a rising pop star when he married Cindy, but decades of dashed dreams and alcoholism have left the pair struggling to find happiness."
Frank and Cindy,Movie,G.J. Echternkamp,"Rene Russo, Oliver Platt, Johnny Simmons, Jane Levy, Marc Maron, Ron Myles, Jessica Garrison, Fabianne Therese","Comedies, Dramas, Independent Movies",A student filmmaker vengefully turns his camera on his bitter mom and washed-up rock star stepdad in this dramedy based on a documentary.
Iverson,Movie,Zatella Beatty,Allen Iverson,"Documentaries, Sports Movies","This unfiltered documentary follows the rocky life and stratospheric career of Allen Iverson, an NBA icon who left an indelible mark on the sport."
Jeremy Scott: The People's Designer,Movie,Vlad Yudin,Jeremy Scott,Documentaries,The journey of fashion designer Jeremy Scott from humble roots on a Missouri farm to creative director of Moschino is charted in this documentary.
Yo-Kai Watch,TV Show,,"Johnny Yong Bosch, J.W. Terry, Alicyn Packard, Melissa Hutchison, Pierre Holloway, Brent Pendergrass","Anime Series, Kids' TV","Nate frees a mythical being trapped in a magic capsule, and the two new friends have adventures with all sorts of troublesome supernatural creatures."
DreamWorks Happy Holidays from Madagascar,TV Show,,"Tom McGrath, Chris Miller, Christopher Knights, John DiMaggio, Ben Stiller, Chris Rock, David Schwimmer, Jada Pinkett Smith, Cedric the Entertainer, Andy Richter, Carl Reiner","Kids' TV, TV Comedies",Madagascar goes wild with holiday spirit in this set of Valentine's Day and Christmas-themed tales featuring everyone's favorite animal characters.
Show Me the Money,TV Show,,"Afdlin Shauki, Patrick Teoh, Mano Maniam, Rashid Salleh, Soefira Jaafar, Nell Ng, Juliana Ibrahim, Wandy She","International TV Shows, TV Comedies",Four ordinary family members find their lives turned upside down when they become overnight millionaires thanks to an unlikely benefactor.
Ripper Street,TV Show,,"Matthew Macfadyen, Jerome Flynn, Adam Rothenberg, David Wilmot, MyAnna Buring, David Dawson, Amanda Hale, Charlene McKenna, Jonathan Barnwell, Clive Russell","British TV Shows, Crime TV Shows, TV Dramas","It's been six months since the last Jack the Ripper killing, and East London is hopeful that his reign of terror might have run its course."
Haven,TV Show,,"Emily Rose, Lucas Bryant, Nicholas Campbell, Eric Balfour, Richard Donat, John Dunsworth, Maurice Dean Wint, Adam Copeland","Classic & Cult TV, TV Horror, TV Mysteries","Residents of Haven, Maine, are plagued by supernatural afflictions. To reveal the truth, FBI agent Audrey Parker must delve into her own strange past."
Marvel's Iron Fist,TV Show,,"Finn Jones, Jessica Henwick, David Wenham, Jessica Stroup, Tom Pelphrey","Crime TV Shows, TV Action & Adventure, TV Dramas","Danny Rand resurfaces 15 years after being presumed dead. Now, with the power of the Iron Fist, he seeks to reclaim his past and fulfill his destiny."
Stretch Armstrong & the Flex Fighters,TV Show,,"Scott Menville, Steven Yeun, Ogie Banks, Wil Wheaton, Keith David, Miguel Ferrer, David Kaye, Kate Mulgrew, Nazneen Contractor, Felicia Day",Kids' TV,Jake Armstrong and his best friends are unexpectedly transformed into superheroes who learn to reach far beyond the limits of any ordinary teenager.
Galavant,TV Show,,"Joshua Sasse, Timothy Omundson, Vinnie Jones, Mallory Jansen, Karen David, Luke Youngblood","TV Action & Adventure, TV Comedies","In a time of legend, Galavant the knight embarks on a quest to save his fair lady and become a hero in this tongue-in-cheek musical comedy."
Elite,TV Show,,"Danna Paola, Miguel Herrán, María Pedraza, Itzan Escamilla, Miguel Bernardeau, Jaime Lorente, Álvaro Rico, Arón Piper, Mina El Hammani, Ester Expósito, Omar Ayuso","Crime TV Shows, International TV Shows, Spanish-Language TV Shows","When three working-class teens enroll in an exclusive private school in Spain, the clash between them and the wealthy students leads to murder."
Jack Whitehall: Travels with My Father,TV Show,,"Jack Whitehall, Michael Whitehall","British TV Shows, Docuseries, International TV Shows","Jovial comic Jack Whitehall invites his stuffy father, Michael, to travel with him through Southeast Asia in an attempt to strengthen their bond."
Once Upon a Time,TV Show,"Mario Van Peebles, Ralph Hemecker, Gwyneth Horder-Payton, Milan Cheylov, Dean White, Michael Waxman, Bryan Spicer","Lana Parrilla, Robert Carlyle, Jared Gilmore, Jennifer Morrison, Ginnifer Goodwin, Josh Dallas, Colin O'Donoghue, Emilie de Ravin","TV Dramas, TV Sci-Fi & Fantasy","In this fantasy series, a young woman is drawn to a small Maine town and discovers that it's filled with elements of the fairy tale world."
Reign,TV Show,,"Adelaide Kane, Megan Follows, Torrance Coombs, Toby Regbo, Jenessa Grant, Celina Sinden, Caitlin Stasey, Anna Popplewell, Alan Van Sprang, Rossif Sutherland, Jonathan Keltz, Sean Teale, Craig Parker",TV Dramas,"This vivid historical drama series tells of the rise to power of Mary, Queen of Scots, amid a court full of sexual and political intrigue."
The Vampire Diaries,TV Show,,"Nina Dobrev, Paul Wesley, Ian Somerhalder, Steven R. McQueen, Sara Canning, Kat Graham, Candice King, Zach Roerig, Michael Trevino, Matthew Davis, Joseph Morgan","TV Dramas, TV Mysteries, TV Sci-Fi & Fantasy","Trapped in adolescent bodies, feuding vampire brothers Stefan and Damon vie for the affection of captivating teenager Elena."
Gotham,TV Show,Danny Cannon,"Ben McKenzie, Donal Logue, Jada Pinkett Smith, David Mazouz, Sean Pertwee, Camren Bicondova, Robin Lord Taylor, Cory Michael Smith, Erin Richards, John Doman, Victoria Cartagena, Andrew Stewart-Jones, Larry Pine, Jessica Lucas, Maggie Geha, Charlie Tahan, Drew Powell, Morena Baccarin, Anthony Carrigan, Crystal Reed, Chris Chalk, Damian Young, Michael Buscemi, Alexander Siddig, Michael Maize","Crime TV Shows, TV Action & Adventure, TV Dramas","Long before he was commissioner, rookie cop James Gordon takes on Gotham City crime and corruption to avenge the murder of Bruce Wayne's parents."
Real Rob,TV Show,,"Rob Schneider, Patricia Schneider, Jamie Lissow, Miranda Scarlett Schneider",TV Comedies,Go inside the world of comedian and actor Rob Schneider in this comedy series that follows the ups and downs of his career and family life.
Reboot: The Guardian Code,TV Show,,"Ty Wood, Sydney Scotia, Ajay Friese, Gabriel Darku, Hannah Vandenbygaart, Timothy E. Brummund, Bob Frazer, Octavian Kaul, Nicholas Lea, Kirsten Robek, Alex Zahara",Kids' TV,Four tech-savvy teens hone their skills as cyber-superheroes in a series of secret missions to save the world.
Skylanders Academy,TV Show,,"Justin Long, Ashley Tisdale, Jonathan Banks, Chris Diamantopoulos, Bobcat Goldthwait, Richard Steven Horvitz, Norm MacDonald, Daniel Middleton, Catherine O'Hara, Parker Posey, Jonny Rees, Jason Ritter, Susan Sarandon, Harland Williams, Daniel Wu, Dee Bradley Baker, Chris Cox, Jim Cummings, Felicia Day, John DiMaggio, Grey Griffin","Kids' TV, TV Comedies",Travel the vast Skylander universe in this animated series as a ragtag group of academy graduates build trust and heart in their fight against evil.
El Marginal,TV Show,,"Juan Minujín, Martina Gusman, Gerardo Romano, Claudio Rissi, Carlos Portaluppi, Nicolás Furtado, Cristina Banegas, Abel Ayala","Crime TV Shows, International TV Shows, Spanish-Language TV Shows","While investigating a kidnapping, an ex-cop sent to infiltrate a prison finds himself surrounded by dangerous felons who can't know his real identity."
Explained,TV Show,,,Docuseries,"This enlightening series from Vox digs into a wide range of topics such as the rise of cryptocurrency, why diets fail, and the wild world of K-pop."
Norsemen,TV Show,,"Kåre Conradi, Silje Torp, Nils Jørgen Kaalstad, Marian Saastad Ottesen, Trond Fausa, Kristine Riis, Jon Øigarden, Henrik Mestad, Øystein Martinsen, Mikkel Bratt Silset, Mads Jørgensen, Nikis Theophilakis","International TV Shows, TV Comedies","The residents of an 8th-century Viking village experience political rivalry, social change and innovations that upend their culture and way of life."
Terrace House: Aloha State,TV Show,,"You, Reina Triendl, Ryota Yamasato, Yoshimi Tokui, Azusa Babazono, Kentaro","International TV Shows, Reality TV","The beautiful island of Oahu is host to a new batch of six strangers who share a single roof, multiple conflicts and no script in this reality series."
Abstract: The Art of Design,TV Show,,"Christoph Niemann, Tinker Hatfield, Es Devlin, Bjarke Ingels, Paula Scher, Platon, Ilse Crawford, Ralph Gilles",Docuseries,Step inside the minds of the most innovative designers in a variety of disciplines and learn how design impacts every aspect of life.
Glitch,TV Show,,"Patrick Brammall, Genevieve O'Reilly, Emma Booth, Emily Barclay, Ned Dennehy, Sean Keenan, Hannah Monson, Aaron L. McGrath, John Leary, Rodger Corser, Andrew McFarlane, Luke Arnold, Rob Collins, Pernilla August","International TV Shows, TV Dramas, TV Horror",A police officer and a doctor face an emotionally charged mystery when seven local residents inexplicably return from the dead in peak physical form.
Locked Up,TV Show,,"Maggie Civantos, Najwa Nimri, Carlos Hipólito, Roberto Enríquez, Cristina Plazas, Berta Vázquez, Alba Flores, Inma Cuevas, María Isabel Díaz, María Salgueiro, Ramiro Blas, Alberto Velasco, Marta Aledo, Daniel Ortiz, Harlys Becerra, Laura Baena, Jesús Castejón, Verónika Moral","Crime TV Shows, International TV Shows, Spanish-Language TV Shows","Manipulated into embezzling funds for her boyfriend and sentenced to prison, a naïve young woman must quickly learn to survive in a harsh new world."
Portlandia,TV Show,,"Fred Armisen, Carrie Brownstein",TV Comedies,"Fred Armisen and Carrie Brownstein send up the residents of Portland, Ore. Typical targets include artisanal light bulbs and feminist bookstores."
Dark Matter,TV Show,,"Marc Bendavid, Melissa O'Neil, Anthony Lemke, Alex Mallari Jr., Jodelle Ferland, Roger Cross, Zoie Palmer","TV Sci-Fi & Fantasy, TV Thrillers","After waking up aboard a derelict spaceship with no memories, the crew of the Raza investigates the mystery of their identities and destination."
American Horror Story,TV Show,,"Evan Peters, Sarah Paulson, Jessica Lange, Denis O'Hare, Kathy Bates, Angela Bassett, Lily Rabe, Frances Conroy, Cheyenne Jackson, Emma Roberts, Taissa Farmiga, Wes Bentley, Finn Wittrock, Chloë Sevigny, Zachary Quinto, Jamie Brewer, Naomi Grossman, Dylan McDermott, Gabourey Sidibe, Lady Gaga, Mare Winningham, Joseph Fiennes, Michael Chiklis, Matt Bomer, Lizzie Brocheré, Erika Ervin, Mat Fraser, Rose Siggins, Connie Britton, James Cromwell, Adina Porter, Jyoti Amge, Billie Lourde, Alison Pill, Billy Eichner, Leslie Grossman, Colton Haynes, Cuba Gooding Jr., André Holland, Danny Huston","TV Horror, TV Mysteries, TV Thrillers","This twisted Emmy-winning drama plays upon the power of supernatural fears and everyday horrors, exploring humankind's unsettling capacity for evil."
Resurrection: Ertugrul,TV Show,,"Engin Altan Düzyatan, Serdar Gökhan, Hülya Darcan, Kaan Taşaner, Esra Bilgiç, Osman Soykut, Serdar Deniz, Cengiz Coşkun, Reshad Strik, Hande Subaşı","International TV Shows, TV Action & Adventure, TV Dramas","When a good deed unwittingly endangers his clan, a 13th-century Turkish warrior agrees to fight a sultan's enemies in exchange for new tribal land."
VeggieTales in the House,TV Show,,"Phil Vischer, Mike Nawrocki, Rob Paulsen, Tress MacNeille",Kids' TV,"Bob the Tomato, Larry the Cucumber and their Veggie pals venture beyond the kitchen counter in these playful adventures with Christian themes."
Person of Interest,TV Show,,"Jim Caviezel, Michael Emerson, Taraji P. Henson, Kevin Chapman, Sarah Shahi, Amy Acker","Crime TV Shows, TV Action & Adventure, TV Dramas",Ex-CIA agent John Reese and enigmatic billionaire Mr. Finch use software that can predict future events to prevent violent crimes before they occur.
Disenchantment,TV Show,,"Abbi Jacobson, Eric André, Nat Faxon, John DiMaggio, Tress MacNeille, Matt Berry, David Herman, Maurice LaMarche, Lucy Montgomery, Billy West","TV Action & Adventure, TV Comedies, TV Sci-Fi & Fantasy","Princess duties call, but she'd rather be drinking. Free-spirited Bean exasperates the king as she wreaks havoc with her demon and elf pals."
Fastest Car,TV Show,,,Reality TV,The drivers of exotic supercars put their street cred on the line against deceptively fast sleeper cars built and modified by true gearheads.
Quantico,TV Show,,"Priyanka Chopra, Josh Hopkins, Jake McLaughlin, Aunjanue Ellis, Yasmine Al Massri, Johanna Braddy, Tate Ellington, Graham Rogers, Anabelle Acosta, Russell Tovey, Blair Underwood, Pearl Thusi","Crime TV Shows, TV Dramas, TV Mysteries","When evidence in a deadly terrorist attack implicates FBI trainee Alex Parrish, she must discover which one of her classmates framed her."
The Blacklist,TV Show,,"James Spader, Megan Boone, Diego Klattenhoff, Ryan Eggold, Harry Lennix, Amir Arison, Hisham Tawfiq, Mozhan Marnò","Crime TV Shows, TV Dramas, TV Thrillers","After turning himself in, a brilliant fugitive offers to help the FBI bag other baddies, but only if rookie profiler Elizabeth Keen is his partner."
Beauty & the Beast,TV Show,,"Kristin Kreuk, Jay Ryan, Max Brown, Austin Basis, Nina Lisandrello, Brian White, Sendhil Ramamurthy","Crime TV Shows, Romantic TV Shows, TV Dramas",A homicide detective and a veteran who has been turned into a beast by a military experiment gone awry become allies after they meet by chance.
The Adjusters,TV Show,,"Rynn Lim, Chris Tong, Aric Ho, Chan Fong","International TV Shows, TV Dramas","An insurance adjuster investigates cases of possible fraud while hiding a romance with a colleague, unaware that someone he trusts is toying with him."
Penny Dreadful,TV Show,,"Josh Hartnett, Eva Green, Timothy Dalton, Reeve Carney, Rory Kinnear, Billie Piper, Danny Sapani, Harry Treadaway","TV Dramas, TV Horror, TV Mysteries","The classic tales of Dracula, Frankenstein, Dorian Gray and more are woven together in this horror series set on the dark streets of Victorian London."
Mini Wolf,TV Show,,,Kids' TV,Mini-Wolf and his fun-loving pals friends are always on the look out for a new adventure – even if it includes a little bit of mischief.
Silver Spoon,TV Show,,"Pavel Priluchnyy, Karina Razumovskaya, Dmitry Shevchenko, Denis Shvedov, Alexander Oblasov, Igor Zhizhikin, Bogdan Stypka, Alexander Dyachenko","Crime TV Shows, International TV Shows, TV Action & Adventure","Forced to become an apprentice cop, cocky playboy Igor finds he's got a knack for police work. But his job soon takes him down a dark personal path."
VeggieTales in the City,TV Show,,"Phil Vischer, Mike Nawrocki, Rob Paulsen, Tress MacNeille",Kids' TV,"With exciting trips to the big city, the ski slopes and beyond, the Veggie friends expand their horizons and learn valuable faith-based lessons."
American Vandal,TV Show,,"Tyler Alvarez, Griffin Gluck, Jimmy Tatro, Camille Hyde, Lou Wilson, Eduardo Franco, Jessica Juarez, Camille Ramsey, Calum Worthy, G. Hannelius, Karly Rothenberg","Crime TV Shows, TV Comedies, Teen TV Shows","A high school is rocked by an act of vandalism, but the top suspect pleads innocence and finds an ally in a filmmaker. A satirical true crime mystery."
Ingobernable,TV Show,,"Kate del Castillo, Eréndira Ibarra, Alberto Guerra, Erik Hayser, Luis Roberto Guzmán, Álvaro Guerrero, Aida López, Fernando Luján, Maxi Iglesias, Marianna Burelli, Maria del Carmen Farías, Tamara Mazarraza, Marina de Tavira, Marco Antonio Treviño, Alicia Jaziz, Harold Torres, Alessio Valentini, Diego Cadavid, Hernán Del Riego","Crime TV Shows, International TV Shows, Spanish-Language TV Shows","The first lady of Mexico is a woman of conviction and ideals. But when she loses faith in her husband, she'll need all her strength to uncover the truth."
I'm Sorry,TV Show,,"Andrea Savage, Tom Everett Scott, Olive Petrucci",TV Comedies,"Life is a series of awkward situations for comedy writer and mom Andrea, thanks to plenty of neuroses and a knack for sticking her foot in her mouth."
The Chef Show,TV Show,,"Jon Favreau, Roy Choi",Docuseries,"Writer, director and food enthusiast Jon Favreau and chef Roy Choi explore food in and out of the kitchen with accomplished chefs and celebrity friends."
The Ranch,TV Show,,"Ashton Kutcher, Sam Elliott, Debra Winger, Elisha Cuthbert, Kelli Goss, Wilmer Valderrama, Danny Masterson",TV Comedies,"Being a pro athlete didn't pan out for Colt. Now he's helping his dad and brother keep the ranch afloat, and figuring out how he fits into the family."
Zak Storm,TV Show,,"Michael Johnston, Jessica Gee-George, Christine Marie Cabanos, Christopher Smith, Max Mittelman, Reba Buhr, Kyle Hebert",Kids' TV,"Teen surfer Zak Storm is mysteriously transported to the Bermuda Triangle, where he becomes the captain of a magical ship full of misfits."
Offspring,TV Show,,"Asher Keddie, Kat Stewart, Richard Davies, Linda Cropper, Jane Harber, Alicia Gardiner, Lachy Hulme, Eddie Perfect, Deborah Mailman, John Waters","TV Comedies, TV Dramas","A Melbourne obstetrician in her thirties struggles with the increasingly chaotic family, romantic and professional aspects of her life in this drama."
Tobot,TV Show,,"Octavian Kaul, Valin Shinyei, Chelsea Miller, Sunni Westbrook, Sam Vincent, Rebecca Shoichet, Jeff Evans Todd, Paul Dobson, Rhona Rees","Kids' TV, Korean TV Shows",They’re robots that can transform into cars – and the Tobots are committed to fighting villains to protect the city and root out crime.
Shameless (U.S.),TV Show,,"William H. Macy, Emmy Rossum, Justin Chatwin, Cameron Monaghan, Jeremy Allen White, Shanola Hampton, Steve Howey, Ethan Cutkosky, Emma Kenney, Laura Wiggins, Joan Cusack","TV Comedies, TV Dramas",This dramedy based on a British series centers on siblings in a dysfunctional Chicago family who struggle while coping with their alcoholic father.
Sword Art Online,TV Show,,"Yoshitsugu Matsuoka, Haruka Tomatsu, Ayana Taketatsu, Kanae Ito, Rina Hidaka, Ayahi Takagaki, Hiroaki Hirata, Hiroki Yasumoto, Saori Hayami, Koichi Yamadera","Anime Series, International TV Shows",A video game whiz helps create a new technology that enables players to guide their online avatars with their own bodies – but a dark twist emerges.
